State,Year,Coal,Natural gas,Other Fuels,Nuclear,Hydro,Other Renewables,Other Generation,GHG Emissions
Ontario,1990,27800,3.18,1430,59400,38700,0,0,25 600
Ontario,2000,40800,10200,1140,59800,36600,1,0,43 700
Ontario,2005,29400,10000,1440,78000,34600,26,0,33 900
Ontario,2006,24500,11000,860,83500,35000,150,0,30 500
Ontario,2007,27900,11800,880,79800,33400,490,1150,33 700
Ontario,2008,22700,9240,1830,85800,38700,960,1440,28 100
Ontario,2009,9570,9120,950,81400,38700,2100,2580,15 200
Ontario,2010,12300,14100,860,82000,31800,3190,3630,20 200
Ontario,2011,3880,18500,780,84800,34600,3420,3500,13 500
Ontario,2012,4100,17600,700,84900,33000,4320,4260,13 300
Ontario,2013,2850,13900,720,93100,36900,4240,3340,10 200
Ontario,2014,79,14700,780,96200,38200,3660,0,6 400
Ontario,2015,0,15300,640,91800,34800,12200,0,6 340
Ontario,2016,0,12700,900,91100,36100,12100,0,5 620
Ontario,2017,0,6090,890,90400,39500,11800,0,2 600
Ontario,2018,0,9780,820,90200,37800,13600,6,4 160
Ontario,2019,0,9370,740,90500,37800,12700,11,3 970
Ontario,2020,0,8640,720,87800,38500,13100,21,4 320
Ontario,2021,0,9400,730,83000,34700,12500,19,4 620
Ontario,2022,0,11260,570,78800,39600,14600,15,5 140
Newfoundland and Labrador,1990,0,0,2090,0,34300,0,0,1 640
Newfoundland and Labrador,2000,0,0,1020,0,41800,0,0, 820
Newfoundland and Labrador,2005,0,0,1360,0,38900,0,0, 820
Newfoundland and Labrador,2006,0,0,770,0,41000,0,0, 640
Newfoundland and Labrador,2007,0,0,1290,0,39100,0,0,1 040
Newfoundland and Labrador,2008,0,0,1130,0,41000,7.8,0, 920
Newfoundland and Labrador,2009,0,0,1060,0,35900,100,0, 820
Newfoundland and Labrador,2010,0,0,920,0,39400,180,0, 740
Newfoundland and Labrador,2011,0,0,1010,0,39100,200,0, 790
Newfoundland and Labrador,2012,0,0,970,0,41300,200,0, 770
Newfoundland and Labrador,2013,0,0,1090,0,40500,190,0, 870
Newfoundland and Labrador,2014,0,0,1470,0,38200,180,0,1 200
Newfoundland and Labrador,2015,0,0,1560,0,38800,170,0,1 340
Newfoundland and Labrador,2016,0,0,1800,0,39500,190,0,1 520
Newfoundland and Labrador,2017,0,0,1800,0,36500,190,0,1 530
Newfoundland and Labrador,2018,0,0,1260,0,41800,210,0,1 130
Newfoundland and Labrador,2019,0,0,1320,0,40800,180,0,1 140
Newfoundland and Labrador,2020,0,0,1090,0,38500,180,0, 950
Newfoundland and Labrador,2021,0,0,760,0,39400,160,0, 650
Newfoundland and Labrador,2022,0,0,800,0,39500,160,0, 690
Prince Edward Island,1990,0,0,81,0,0,0,0, 100
Prince Edward Island,2000,0,0,48,0,0,0,0, 53
Prince Edward Island,2005,0,0,6.3,0,0,40,0,5.6
Prince Edward Island,2006,0,0,7.5,0,0,36,0,10
Prince Edward Island,2007,0,0,5.1,0,0,40,0,5.8
Prince Edward Island,2008,0,0,5.8,0,0,140,0,4.7
Prince Edward Island,2009,0,0,7.3,0,0,350,0,6.6
Prince Edward Island,2010,0,0,3.8,0,0,460,0,1.9
Prince Edward Island,2011,0,0,4.8,0,0,490,0,1.2
Prince Edward Island,2012,0,0,15,0,0,470,0, 11
Prince Edward Island,2013,0,0,8.2,0,0,500,0,3.9
Prince Edward Island,2014,0,0,8.3,0,0,610,0,4.3
Prince Edward Island,2015,0,0,9.8,0,0,610,0, 14
Prince Edward Island,2016,0,0,5.7,0,0,590,0,4.2
Prince Edward Island,2017,0,0,5.6,0,0,600,0,8.6
Prince Edward Island,2018,0,0,3,0,0,640,0,2.8
Prince Edward Island,2019,0,0,0.93,0,0,650,0,1.1
Prince Edward Island,2020,0,0,0.25,0,0,660,0,0.3
Prince Edward Island,2021,0,0,1.8,0,0,600,0,1.9
Prince Edward Island,2022,0,0,1.1,0,0,490,0,1.1
Nova Scotia,1990,6020,0,2430,0,1120,26,0,6 870
Nova Scotia,2000,8850,0,1610,0,890,0,0,9 430
Nova Scotia,2005,6770,180,4110,0,1040,110,0,10 700
Nova Scotia,2006,6560,390,3160,0,980,130,0,10 100
Nova Scotia,2007,7210,880,3180,0,890,180,0,11 600
Nova Scotia,2008,7790,1260,1700,0,1060,160,0,9 430
Nova Scotia,2009,6960,1610,1660,0,1040,180,0,9 340
Nova Scotia,2010,6790,2270,1270,0,970,410,0,8 780
Nova Scotia,2011,6020,2430,1050,0,1070,810,0,8 420
Nova Scotia,2012,5390,2260,1560,0,810,830,0,7 610
Nova Scotia,2013,5500,1370,1890,0,960,780,0,7 520
Nova Scotia,2014,5250,1470,1840,0,1100,760,0,7 190
Nova Scotia,2015,4870,1300,2050,0,1010,820,0,6 980
Nova Scotia,2016,4830,1240,1830,0,800,980,0,6 620
Nova Scotia,2017,4840,1440,1400,0,850,1270,0,6 650
Nova Scotia,2018,4980,1420,1490,0,940,1410,0,6 970
Nova Scotia,2019,4990,1360,1060,0,1030,1270,0,6 670
Nova Scotia,2020,4470,1860,1080,0,750,1280,0,6 280
Nova Scotia,2021,4660,1670,930,0,780,1190,0,6 040
Nova Scotia,2022,3850,1630,1250,0,880,1150,0,5 790
New Brunswick,1990,1270,0,6360,5340,3460,0,0,6 010
New Brunswick,2000,3820,0,7210,3960,3220,0,0,8 970
New Brunswick,2005,2920,1970,7210,4380,3820,0,0,8 440
New Brunswick,2006,2930,2320,4170,4370,3710,0,0,7 670
New Brunswick,2007,2910,1840,4610,4120,2790,0,0,7 550
New Brunswick,2008,2880,1410,4230,1130,3540,0,414,7 080
New Brunswick,2009,2770,1840,4050,0,2970,270,617,7 040
New Brunswick,2010,2080,1840,2300,0,3330,390,681,4 960
New Brunswick,2011,2340,1960,1740,0,3840,690,666,4 520
New Brunswick,2012,1900,1780,1490,410,2860,730,551,3 880
New Brunswick,2013,2250,1770,1290,4480,3400,740,581,3 850
New Brunswick,2014,2560,2570,1850,5010,2960,790,0,4 050
New Brunswick,2015,1650,2320,1650,4280,2620,790,0,4 140
New Brunswick,2016,2160,2360,1580,4540,3260,770,0,4 450
New Brunswick,2017,2090,1300,1000,5120,2600,780,0,3 750
New Brunswick,2018,2330,980,1480,4870,2530,820,0,4 160
